Date,Cash Inflows,Cash Outflows,Balance
2024-01-07,"$21,490","$15,646","$35,844"
2024-01-14,"$20,805","$18,208","$38,441"
2024-01-21,"$24,309","$19,002","$43,748"
2024-01-28,"$27,938","$18,728","$52,958"
2024-02-04,"$23,466","$15,084","$61,340"
2024-02-11,"$24,013","$16,014","$69,339"
2024-02-18,"$29,716","$17,141","$81,915"
2024-02-25,"$27,243","$18,252","$90,905"
2024-03-03,"$23,196","$15,146","$98,955"
2024-03-10,"$25,618","$15,520","$109,053"
2024-03-17,"$21,744","$13,452","$117,345"
2024-03-24,"$20,693","$13,035","$125,002"
2024-03-31,"$21,645","$26,810","$119,837"
2024-04-07,"$13,952","$17,651","$116,139"
2024-04-14,"$13,309","$14,549","$114,899"
2024-04-21,"$15,681","$16,460","$114,120"
2024-04-28,"$13,372","$14,944","$112,549"
2024-05-05,"$16,613","$12,710","$116,451"
2024-05-12,"$12,467","$14,518","$114,401"
2024-05-19,"$10,765","$16,684","$108,482"
2024-05-26,"$19,513","$13,370","$114,625"
2024-06-02,"$14,847","$16,429","$113,043"
2024-06-09,"$16,406","$7,944","$121,505"
2024-06-16,"$12,837","$14,738","$119,604"
2024-06-23,"$16,561","$13,208","$122,956"
2024-06-30,"$19,718","$12,406","$130,269"
2024-07-07,"$17,161","$13,187","$134,243"
2024-07-14,"$22,933","$9,059","$148,117"
2024-07-21,"$21,087","$12,655","$156,550"
2024-07-28,"$22,922","$13,897","$165,574"
2024-08-04,"$22,671","$16,255","$171,990"
2024-08-11,"$30,441","$12,405","$190,025"
2024-08-18,"$24,957","$11,991","$202,992"
2024-08-25,"$21,636","$12,791","$211,837"
2024-09-01,"$26,798","$15,831","$222,804"
2024-09-08,"$19,927","$29,878","$212,853"
2024-09-15,"$23,259","$13,393","$222,718"
2024-09-22,"$15,637","$15,720","$222,635"
2024-09-29,"$16,323","$15,133","$223,826"
2024-10-06,"$19,672","$17,122","$226,376"
2024-10-13,"$20,126","$14,024","$232,478"
2024-10-20,"$17,379","$15,009","$234,848"
2024-10-27,"$15,663","$15,107","$235,404"
2024-11-03,"$14,492","$13,178","$236,718"
2024-11-10,"$10,624","$16,893","$230,448"
2024-11-17,"$12,862","$17,000","$226,310"
2024-11-24,"$13,902","$16,643","$223,569"
2024-12-01,"$19,003","$16,293","$226,280"
2024-12-08,"$17,662","$14,034","$229,908"
2024-12-15,"$12,345","$16,098","$226,155"
2024-12-22,"$19,753","$16,299","$229,609"
2024-12-29,"$18,845","$15,395","$233,058"